total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
1,1,1,0,0,0,0,1,1
2,1,1,0,0,0,0,1,1
3,1,1,0,0,0,0,1,1
4,1,1,0,0,0,0,2,2
5,1,1,0,0,0,0,2,2
6,1,1,0,0,0,0,2,2
7,1,1,0,0,0,0,3,3
8,1,1,0,0,0,0,3,3
9,1,1,0,0,0,0,3,3
10,1,1,0,0,0,0,4,4
11,1,1,0,0,0,0,4,4
12,1,1,0,0,0,0,4,4
13,1,1,0,0,0,0,5,5
14,1,1,0,0,0,0,5,5
15,1,1,0,0,0,0,5,5
16,1,1,0,0,0,0,6,6
17,0,0,1,1,1,1,6,6
18,0,0,1,1,1,1,5,5
19,0,0,1,1,1,1,4,4
20,0,0,1,1,2,2,4,4
21,0,0,1,1,2,2,3,3
22,0,0,1,1,2,2,2,2
23,0,0,1,1,3,3,2,2
24,0,0,1,1,3,3,1,1
25,0,0,1,1,3,3,0,0
26,0,0,1,1,4,4,0,0
27,0,0,1,1,4,4,0,0
28,0,0,1,1,4,4,0,0
29,0,0,1,1,5,5,0,0
30,0,0,1,1,5,5,0,0
31,0,0,1,1,5,5,0,0
32,0,0,1,1,6,6,0,0
33,1,1,0,0,6,6,1,1
34,1,1,0,0,5,5,1,1
35,1,1,0,0,4,4,1,1
36,1,1,0,0,4,4,2,2
37,1,1,0,0,3,3,2,2
38,1,1,0,0,2,2,2,2
39,1,1,0,0,2,2,3,3
40,1,1,0,0,1,1,3,3
41,1,1,0,0,0,0,3,3
42,1,1,0,0,0,0,4,4
43,1,1,0,0,0,0,4,4
44,1,1,0,0,0,0,4,4
45,1,1,0,0,0,0,5,5
46,1,1,0,0,0,0,5,5
47,1,1,0,0,0,0,5,5
48,1,1,0,0,0,0,6,6
49,0,0,1,1,1,1,6,6
50,0,0,1,1,1,1,5,5
51,0,0,1,1,1,1,4,4
52,0,0,1,1,2,2,4,4
53,0,0,1,1,2,2,3,3
54,0,0,1,1,2,2,2,2
55,0,0,1,1,3,3,2,2
56,0,0,1,1,3,3,1,1
57,0,0,1,1,3,3,0,0
58,0,0,1,1,4,4,0,0
59,0,0,1,1,4,4,0,0
60,0,0,1,1,4,4,0,0
61,0,0,1,1,5,5,0,0
62,0,0,1,1,5,5,0,0
63,0,0,1,1,5,5,0,0
64,0,0,1,1,6,6,0,0
