total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
1,1,1,0,0,1,0,0,0
2,1,1,0,0,1,1,0,0
3,1,1,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0
5,1,1,0,0,0,1,0,0
6,1,1,0,0,1,0,0,1
7,1,1,0,0,1,1,0,1
8,1,1,0,0,1,1,0,1
9,1,1,0,0,1,1,0,1
10,1,1,0,0,1,1,0,1
11,1,1,0,0,1,1,0,2
12,1,1,0,0,1,0,0,2
13,1,1,0,0,0,1,0,2
14,1,1,0,0,0,1,0,2
15,1,1,0,0,1,1,0,3
16,1,1,0,0,1,1,0,4
17,1,1,0,0,1,1,0,4
18,1,1,0,0,1,1,0,4
19,1,1,0,0,1,1,0,4
20,1,1,0,0,1,0,1,5
21,1,1,0,0,0,1,1,5
22,1,1,0,0,0,1,1,5
23,1,1,0,0,1,1,1,5
24,1,1,0,0,1,0,1,5
25,1,1,0,0,0,0,1,5
26,1,1,0,0,1,0,1,5
27,1,1,0,0,1,1,1,5
28,1,1,0,0,0,1,1,6
29,1,1,0,0,0,1,1,6
30,1,1,0,0,0,0,1,6
31,1,1,0,0,1,1,1,6
32,1,1,0,0,0,1,1,6
33,1,1,0,0,1,0,1,6
34,1,1,0,0,0,0,1,6
35,1,1,0,0,1,0,1,6
36,1,1,0,0,1,1,1,6
37,1,1,0,0,1,1,1,6
38,1,1,0,0,1,0,2,6
39,1,1,0,0,0,0,2,6
40,1,1,0,0,1,0,2,6
41,1,1,0,0,1,0,2,7
42,1,1,0,0,0,0,2,7
43,1,1,0,0,1,1,2,7
44,1,1,0,0,1,1,3,7
45,1,1,0,0,1,1,3,7
46,1,1,0,0,1,1,3,7
47,1,1,0,0,1,0,3,7
48,1,1,0,0,0,1,3,8
49,1,1,0,0,1,0,3,8
50,0,0,1,1,0,0,3,8
51,0,0,1,1,1,0,3,7
52,0,0,1,1,1,1,2,6
53,0,0,1,1,2,1,1,6
54,0,0,1,1,2,1,0,5
55,0,0,1,1,3,1,0,4
56,0,0,1,1,3,2,0,3
57,0,0,1,1,4,2,0,2
58,0,0,1,1,5,3,0,1
59,0,0,1,1,6,4,0,0
60,0,0,1,1,6,5,0,1
61,1,1,0,0,7,6,0,1
62,1,1,0,0,6,6,0,1
63,1,1,0,0,6,5,0,1
64,1,1,0,0,6,5,0,1
65,1,1,0,0,5,4,0,1
66,1,1,0,0,4,3,0,1
67,1,1,0,0,3,3,0,1
68,1,1,0,0,2,3,0,1
69,1,1,0,0,2,3,0,1
70,1,1,0,0,2,3,1,1
71,1,1,0,0,1,2,1,2
72,1,1,0,0,1,2,2,2
73,1,1,0,0,1,1,2,2
74,1,1,0,0,1,1,2,2
75,1,1,0,0,0,1,2,2
76,1,1,0,0,0,0,2,3
77,1,1,0,0,0,0,2,3
78,1,1,0,0,0,1,2,3
79,1,1,0,0,1,0,2,3
80,1,1,0,0,0,0,2,3
81,1,1,0,0,1,1,3,3
82,1,1,0,0,0,1,3,3
83,1,1,0,0,1,0,3,4
84,1,1,0,0,0,0,3,4
85,1,1,0,0,1,1,4,5
86,1,1,0,0,1,0,4,5
87,1,1,0,0,0,1,5,5
88,1,1,0,0,1,1,5,5
89,1,1,0,0,1,1,5,5
90,1,1,0,0,0,1,5,5
91,1,1,0,0,1,1,5,5
92,0,0,1,1,0,0,6,6
93,0,0,1,1,0,1,5,5
94,0,0,1,1,0,2,4,4
95,0,0,1,1,0,3,3,3
96,0,0,1,1,1,4,2,2
97,0,0,1,1,1,5,1,2
98,0,0,1,1,2,6,0,1
99,0,0,1,1,2,7,0,0
100,0,0,1,1,3,7,0,0
101,1,1,0,0,4,8,0,0
102,1,1,0,0,4,8,0,0
103,1,1,0,0,4,8,1,0
104,1,1,0,0,4,8,1,0
105,1,1,0,0,4,8,1,0
106,1,1,0,0,3,7,1,0
107,1,1,0,0,3,7,1,0
108,1,1,0,0,3,6,2,0
