total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
1,1,1,0,0,0,0.0,1,0.0,1,0.0,0,0.0
2,1,1,0,0,0,0.0,1,1.0,2,1.0,0,0.0
3,1,1,0,0,1,0.0,0,1.0,3,1.5,0,0.0
4,1,1,0,0,0,1.0,1,0.0,4,2.0,0,0.0
5,1,1,0,0,0,0.0,0,1.0,4,2.5,0,0.0
6,1,1,0,0,1,0.0,0,0.0,5,3.5,0,0.0
7,1,1,0,0,1,1.0,1,0.0,5,3.8,0,0.0
8,1,1,0,0,1,1.0,1,1.0,5,4.8,0,0.0
9,1,1,0,0,0,1.0,0,1.0,5,5.8,0,0.0
10,1,1,0,0,0,0.0,0,0.0,5,6.8,0,0.0
11,1,1,0,0,0,0.0,0,0.0,5,7.8,0,0.0
12,1,1,0,0,0,0.0,0,0.0,5,8.8,0,0.0
13,1,1,0,0,1,0.0,1,0.0,5,9.8,0,0.0
14,1,1,0,0,0,1.0,0,1.0,5,10.8,1,0.0
15,1,1,0,0,0,0.0,1,0.0,6,11.8,1,1.0
16,1,1,0,0,0,0.0,1,1.0,6,10.833333333333334,1,2.0
17,1,1,0,0,0,0.0,0,1.0,6,11.833333333333334,2,3.0
18,1,1,0,0,0,0.0,0,0.0,7,12.833333333333334,2,2.5
19,1,1,0,0,0,0.0,1,0.0,7,12.0,2,3.5
20,1,1,0,0,1,0.0,0,1.0,8,13.0,2,4.5
21,1,1,0,0,0,1.0,1,0.0,8,12.375,2,5.5
22,1,1,0,0,0,0.0,1,1.0,8,13.375,3,6.5
23,1,1,0,0,1,0.0,0,1.0,8,14.375,3,5.333333333333333
24,0,0,1,1,0,1.0,0,0.0,8,15.375,3,6.333333333333333
25,0,0,1,1,1,0.0,0,0.0,7,16.375,2,7.333333333333333
26,0,0,1,1,1,1.0,0,0.0,6,16.285714285714285,2,6.5
27,0,0,1,1,2,2.0,0,0.0,5,16.0,1,3.0
28,0,0,1,1,3,2.0,0,0.0,4,15.4,0,2.0
29,0,0,1,1,4,2.3333333333333335,0,0.0,4,14.25,0,0.0
30,0,0,1,1,5,2.75,1,0.0,3,9.5,1,0.0
31,0,0,1,1,5,3.2,1,1.0,2,8.666666666666666,1,1.0
32,0,0,1,1,5,4.2,1,2.0,1,7.5,1,1.0
33,0,0,1,1,6,5.2,2,3.0,0,4.0,1,1.0
34,0,0,1,1,7,5.333333333333333,2,2.5,0,0.0,0,1.0
35,0,0,1,1,8,5.571428571428571,2,3.5,0,0.0,1,0.0
36,0,0,1,1,8,5.875,2,4.5,1,0.0,1,1.0
37,1,1,0,0,9,6.875,3,5.5,0,1.0,0,1.0
38,1,1,0,0,8,7.111111111111111,3,4.666666666666667,0,0.0,0,0.0
39,1,1,0,0,8,7.375,3,3.0,0,0.0,0,0.0
40,1,1,0,0,8,6.875,2,2.0,0,0.0,0,0.0
41,1,1,0,0,8,6.375,2,2.5,0,0.0,0,0.0
42,1,1,0,0,7,5.875,1,2.0,1,0.0,0,0.0
43,1,1,0,0,6,6.0,0,2.0,2,1.0,0,0.0
44,1,1,0,0,5,6.333333333333333,0,0.0,2,1.5,1,0.0
45,1,1,0,0,5,6.6,1,0.0,2,2.5,1,1.0
46,1,1,0,0,4,5.6,0,1.0,2,3.5,1,2.0
47,1,1,0,0,3,5.75,0,0.0,2,4.5,2,3.0
48,1,1,0,0,2,6.0,1,0.0,2,5.5,2,2.5
49,1,1,0,0,2,6.0,1,1.0,3,6.5,3,3.5
