total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
1,1,1,0,0,1,0.0,0,0.0,1,0.0,0,0.0
2,1,1,0,0,0,1.0,0,0.0,1,1.0,0,0.0
3,1,1,0,0,0,0.0,0,0.0,2,2.0,0,0.0
4,1,1,0,0,0,0.0,0,0.0,2,2.0,0,0.0
5,1,1,0,0,1,0.0,0,0.0,2,3.0,0,0.0
6,1,1,0,0,0,1.0,0,0.0,2,4.0,0,0.0
7,1,1,0,0,0,0.0,0,0.0,2,5.0,1,0.0
8,1,1,0,0,0,0.0,0,0.0,3,6.0,1,1.0
9,1,1,0,0,0,0.0,0,0.0,3,5.0,1,2.0
10,1,1,0,0,0,0.0,0,0.0,3,6.0,2,3.0
11,1,1,0,0,0,0.0,0,0.0,3,7.0,2,2.5
12,1,1,0,0,0,0.0,0,0.0,4,8.0,3,3.5
13,1,1,0,0,1,0.0,0,0.0,5,7.0,3,3.3333333333333335
14,1,1,0,0,1,1.0,0,0.0,5,6.6,4,4.333333333333333
15,1,1,0,0,0,1.0,0,0.0,5,7.6,4,4.25
16,1,1,0,0,0,0.0,0,0.0,5,8.6,5,5.25
17,1,1,0,0,0,0.0,0,0.0,5,9.6,5,5.2
18,0,0,1,1,0,0.0,0,0.0,5,10.6,6,6.2
19,0,0,1,1,0,0.0,0,0.0,5,11.6,5,6.166666666666667
20,0,0,1,1,1,0.0,0,0.0,4,9.0,4,6.0
21,0,0,1,1,1,1.0,1,0.0,3,8.0,4,6.0
22,0,0,1,1,2,2.0,1,1.0,2,7.333333333333333,3,4.75
23,0,0,1,1,3,2.0,1,2.0,1,7.0,3,4.666666666666667
24,0,0,1,1,3,2.3333333333333335,1,3.0,0,5.0,2,3.3333333333333335
25,0,0,1,1,3,3.3333333333333335,1,4.0,1,0.0,1,3.0
26,0,0,1,1,3,4.333333333333333,1,5.0,0,1.0,1,3.0
27,0,0,1,1,3,5.333333333333333,1,6.0,0,0.0,0,1.0
28,0,0,1,1,4,6.333333333333333,1,7.0,0,0.0,0,0.0
29,0,0,1,1,4,5.75,1,8.0,0,0.0,0,0.0
30,0,0,1,1,4,6.75,1,9.0,0,0.0,1,0.0
31,0,0,1,1,4,7.75,1,10.0,1,0.0,0,1.0
32,0,0,1,1,4,8.75,1,11.0,0,1.0,0,0.0
33,0,0,1,1,5,9.75,1,12.0,1,0.0,0,0.0
34,0,0,1,1,5,8.8,1,13.0,1,1.0,0,0.0
35,0,0,1,1,6,9.8,1,14.0,0,1.0,0,0.0
36,0,0,1,1,6,9.166666666666666,1,15.0,0,0.0,0,0.0
37,0,0,1,1,6,10.166666666666666,2,16.0,0,0.0,0,0.0
38,0,0,1,1,7,11.166666666666666,2,9.0,0,0.0,0,0.0
39,0,0,1,1,7,10.571428571428571,2,10.0,0,0.0,1,0.0
40,0,0,1,1,7,11.571428571428571,2,11.0,1,0.0,0,1.0
41,0,0,1,1,7,12.571428571428571,3,12.0,0,1.0,0,0.0
42,1,1,0,0,7,13.571428571428571,4,9.0,0,0.0,0,0.0
43,1,1,0,0,6,14.571428571428571,4,7.75,0,0.0,0,0.0
44,1,1,0,0,5,14.166666666666666,4,3.25,0,0.0,0,0.0
45,1,1,0,0,4,13.6,4,2.5,0,0.0,0,0.0
46,1,1,0,0,3,12.5,3,2.5,0,0.0,0,0.0
47,1,1,0,0,3,11.666666666666666,2,3.0,1,0.0,0,0.0
48,1,1,0,0,2,8.0,1,3.5,1,1.0,0,0.0
49,1,1,0,0,1,6.5,0,4.0,2,2.0,1,0.0
