timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
1,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0
2,1,1,0,0,0,0,1,1,0.0,0.0,1.0,1.0
3,1,1,0,0,0,0,1,1,0.0,0.0,2.0,2.0
4,1,1,0,0,0,0,1,1,0.0,0.0,3.0,3.0
5,1,1,0,0,0,0,1,1,0.0,0.0,4.0,4.0
6,1,1,0,0,0,0,1,1,0.0,0.0,5.0,5.0
7,1,1,0,0,0,0,1,1,0.0,0.0,6.0,6.0
8,1,1,0,0,0,0,1,1,0.0,0.0,7.0,7.0
9,1,1,0,0,0,0,2,2,0.0,0.0,4.0,4.0
10,1,1,0,0,0,0,2,2,0.0,0.0,5.0,5.0
11,1,1,0,0,0,0,2,2,0.0,0.0,6.0,6.0
12,1,1,0,0,0,0,3,3,0.0,0.0,4.666666666666667,4.666666666666667
13,1,1,0,0,0,0,3,3,0.0,0.0,5.666666666666667,5.666666666666667
14,1,1,0,0,0,0,3,3,0.0,0.0,6.666666666666667,6.666666666666667
15,1,1,0,0,0,0,4,4,0.0,0.0,5.75,5.75
16,1,1,0,0,0,0,4,4,0.0,0.0,6.75,6.75
17,1,1,0,0,0,0,4,4,0.0,0.0,7.75,7.75
18,1,1,0,0,0,0,4,4,0.0,0.0,8.75,8.75
19,0,0,1,1,0,0,5,5,0.0,0.0,7.8,7.8
20,0,0,1,1,0,0,4,4,0.0,0.0,6.25,6.25
21,0,0,1,1,0,0,3,3,0.0,0.0,5.666666666666667,5.666666666666667
22,0,0,1,1,1,1,2,2,0.0,0.0,5.0,5.0
23,0,0,1,1,2,2,1,1,0.5,0.5,4.0,4.0
24,0,0,1,1,2,2,0,0,1.5,1.5,0.0,0.0
25,0,0,1,1,2,2,0,0,2.5,2.5,0.0,0.0
26,0,0,1,1,2,2,0,0,3.5,3.5,0.0,0.0
27,0,0,1,1,2,2,0,0,4.5,4.5,0.0,0.0
28,0,0,1,1,3,3,0,0,3.6666666666666665,3.6666666666666665,0.0,0.0
29,0,0,1,1,4,4,0,0,3.5,3.5,0.0,0.0
30,0,0,1,1,4,4,0,0,4.5,4.5,0.0,0.0
31,1,1,0,0,5,5,0,0,4.4,4.4,0.0,0.0
32,1,1,0,0,5,5,0,0,3.4,3.4,0.0,0.0
33,1,1,0,0,4,4,0,0,3.0,3.0,0.0,0.0
34,1,1,0,0,4,4,0,0,2.5,2.5,0.0,0.0
35,1,1,0,0,4,4,0,0,2.0,2.0,0.0,0.0
36,1,1,0,0,3,3,0,0,2.3333333333333335,2.3333333333333335,0.0,0.0
37,1,1,0,0,3,3,0,0,1.6666666666666667,1.6666666666666667,0.0,0.0
38,1,1,0,0,3,3,0,0,1.3333333333333333,1.3333333333333333,0.0,0.0
39,1,1,0,0,2,2,0,0,1.5,1.5,0.0,0.0
40,1,1,0,0,1,1,0,0,2.0,2.0,0.0,0.0
41,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0
48,1,1,0,0,0,0,1,1,0.0,0.0,1.0,1.0
49,1,1,0,0,0,0,1,1,0.0,0.0,2.0,2.0
50,1,1,0,0,0,0,2,2,0.0,0.0,1.5,1.5
51,1,1,0,0,0,0,2,2,0.0,0.0,2.5,2.5
52,1,1,0,0,0,0,2,2,0.0,0.0,3.5,3.5
53,1,1,0,0,0,0,2,2,0.0,0.0,4.5,4.5
54,1,1,0,0,0,0,2,2,0.0,0.0,5.5,5.5
55,1,1,0,0,0,0,2,2,0.0,0.0,6.5,6.5
56,1,1,0,0,0,0,2,2,0.0,0.0,7.5,7.5
57,1,1,0,0,0,0,2,2,0.0,0.0,8.5,8.5
58,1,1,0,0,0,0,2,2,0.0,0.0,9.5,9.5
59,1,1,0,0,0,0,2,2,0.0,0.0,10.5,10.5
60,1,1,0,0,0,0,2,2,0.0,0.0,11.5,11.5
61,1,1,0,0,0,0,2,2,0.0,0.0,12.5,12.5
62,1,1,0,0,0,0,2,2,0.0,0.0,13.5,13.5
63,1,1,0,0,0,0,2,2,0.0,0.0,14.5,14.5
64,1,1,0,0,0,0,2,2,0.0,0.0,15.5,15.5
65,1,1,0,0,0,0,2,2,0.0,0.0,16.5,16.5
66,1,1,0,0,0,0,2,2,0.0,0.0,17.5,17.5
67,1,1,0,0,0,0,2,2,0.0,0.0,18.5,18.5
68,1,1,0,0,0,0,2,2,0.0,0.0,19.5,19.5
69,1,1,0,0,0,0,2,2,0.0,0.0,20.5,20.5
70,1,1,0,0,0,0,2,2,0.0,0.0,21.5,21.5
71,1,1,0,0,0,0,2,2,0.0,0.0,22.5,22.5
72,1,1,0,0,0,0,2,2,0.0,0.0,23.5,23.5
73,1,1,0,0,0,0,2,2,0.0,0.0,24.5,24.5
74,1,1,0,0,0,0,2,2,0.0,0.0,25.5,25.5
75,1,1,0,0,0,0,3,3,0.0,0.0,17.666666666666668,17.666666666666668
76,1,1,0,0,0,0,3,3,0.0,0.0,18.666666666666668,18.666666666666668
77,1,1,0,0,0,0,3,3,0.0,0.0,19.666666666666668,19.666666666666668
78,1,1,0,0,0,0,3,3,0.0,0.0,20.666666666666668,20.666666666666668
79,1,1,0,0,0,0,3,3,0.0,0.0,21.666666666666668,21.666666666666668
80,1,1,0,0,0,0,3,3,0.0,0.0,22.666666666666668,22.666666666666668
81,1,1,0,0,0,0,3,3,0.0,0.0,23.666666666666668,23.666666666666668
82,1,1,0,0,0,0,3,3,0.0,0.0,24.666666666666668,24.666666666666668
83,1,1,0,0,0,0,4,4,0.0,0.0,19.25,19.25
84,0,0,1,1,0,0,5,5,0.0,0.0,16.2,16.2
85,0,0,1,1,0,0,4,4,0.0,0.0,12.0,12.0
86,0,0,1,1,0,0,3,3,0.0,0.0,5.333333333333333,5.333333333333333
87,0,0,1,1,0,0,2,2,0.0,0.0,3.5,3.5
88,0,0,1,1,0,0,2,2,0.0,0.0,2.0,2.0
89,0,0,1,1,1,1,2,2,0.0,0.0,0.5,0.5
90,0,0,1,1,1,1,1,1,1.0,1.0,1.0,1.0
91,0,0,1,1,1,1,0,0,2.0,2.0,0.0,0.0
92,0,0,1,1,2,2,0,0,1.5,1.5,0.0,0.0
93,0,0,1,1,2,2,0,0,2.5,2.5,0.0,0.0
94,0,0,1,1,2,2,0,0,3.5,3.5,0.0,0.0
95,0,0,1,1,2,2,0,0,4.5,4.5,0.0,0.0
96,0,0,1,1,3,3,0,0,3.6666666666666665,3.6666666666666665,0.0,0.0
97,0,0,1,1,3,3,0,0,4.666666666666667,4.666666666666667,0.0,0.0
98,0,0,1,1,4,4,0,0,4.25,4.25,0.0,0.0
99,0,0,1,1,4,4,0,0,5.25,5.25,0.0,0.0
100,1,1,0,0,5,5,0,0,5.0,5.0,0.0,0.0
101,1,1,0,0,4,4,0,0,4.5,4.5,0.0,0.0
102,1,1,0,0,3,3,0,0,4.0,4.0,0.0,0.0
103,1,1,0,0,2,2,0,0,4.0,4.0,0.0,0.0
104,1,1,0,0,1,1,0,0,4.0,4.0,0.0,0.0
105,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
106,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
107,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
108,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
109,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
110,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
111,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
112,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
113,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
114,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
115,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
116,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0
