timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0
5,1,1,0,0,0,0,1,1,0.0,0.0,1.0,1.0
6,1,1,0,0,0,0,1,1,0.0,0.0,2.0,2.0
7,1,1,0,0,0,0,1,1,0.0,0.0,3.0,3.0
8,1,1,0,0,0,0,1,1,0.0,0.0,4.0,4.0
9,1,1,0,0,0,0,2,2,0.0,0.0,2.5,2.5
10,1,1,0,0,0,0,2,2,0.0,0.0,3.5,3.5
11,1,1,0,0,0,0,2,2,0.0,0.0,4.5,4.5
12,1,1,0,0,0,0,2,2,0.0,0.0,5.5,5.5
13,1,1,0,0,0,0,2,2,0.0,0.0,6.5,6.5
14,1,1,0,0,0,0,2,2,0.0,0.0,7.5,7.5
15,1,1,0,0,0,0,2,2,0.0,0.0,8.5,8.5
16,1,1,0,0,0,0,3,3,0.0,0.0,6.333333333333333,6.333333333333333
17,1,1,0,0,0,0,3,3,0.0,0.0,7.333333333333333,7.333333333333333
18,1,1,0,0,0,0,3,3,0.0,0.0,8.333333333333334,8.333333333333334
19,1,1,0,0,0,0,4,4,0.0,0.0,7.0,7.0
20,1,1,0,0,0,0,4,4,0.0,0.0,8.0,8.0
21,1,1,0,0,0,0,4,4,0.0,0.0,9.0,9.0
22,1,1,0,0,0,0,4,4,0.0,0.0,10.0,10.0
23,1,1,0,0,0,0,4,4,0.0,0.0,11.0,11.0
24,0,0,1,1,0,0,5,5,0.0,0.0,9.6,9.6
25,0,0,1,1,0,0,4,4,0.0,0.0,8.0,8.0
26,0,0,1,1,1,1,4,4,0.0,0.0,4.75,4.75
27,0,0,1,1,1,1,3,3,1.0,1.0,4.0,4.0
28,0,0,1,1,1,1,2,2,2.0,2.0,3.0,3.0
29,0,0,1,1,1,1,1,1,3.0,3.0,3.0,3.0
30,0,0,1,1,1,1,0,0,4.0,4.0,0.0,0.0
31,0,0,1,1,2,2,0,0,2.5,2.5,0.0,0.0
32,0,0,1,1,2,2,0,0,3.5,3.5,0.0,0.0
33,0,0,1,1,3,3,0,0,3.0,3.0,0.0,0.0
34,0,0,1,1,3,3,0,0,4.0,4.0,0.0,0.0
35,0,0,1,1,3,3,0,0,5.0,5.0,0.0,0.0
36,0,0,1,1,3,3,0,0,6.0,6.0,0.0,0.0
37,0,0,1,1,3,3,0,0,7.0,7.0,0.0,0.0
38,0,0,1,1,3,3,0,0,8.0,8.0,0.0,0.0
39,0,0,1,1,4,4,0,0,6.75,6.75,0.0,0.0
40,0,0,1,1,4,4,0,0,7.75,7.75,0.0,0.0
41,0,0,1,1,4,4,0,0,8.75,8.75,0.0,0.0
42,0,0,1,1,4,4,0,0,9.75,9.75,0.0,0.0
43,0,0,1,1,4,4,0,0,10.75,10.75,0.0,0.0
44,0,0,1,1,4,4,0,0,11.75,11.75,0.0,0.0
45,1,1,0,0,5,5,0,0,10.2,10.2,0.0,0.0
46,1,1,0,0,4,4,0,0,9.0,9.0,0.0,0.0
47,1,1,0,0,3,3,0,0,8.0,8.0,0.0,0.0
