timestep,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,light_state_north,light_state_south,light_state_east,light_state_west,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5
5.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5
6.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5,2.5
7.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5
8.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
9.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0
10.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0
11.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
12.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0
13.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0
14.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0
15.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0
16.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.25,8.25
17.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,9.25,9.25
18.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,10.25,10.25
19.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.25,11.25
20.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,12.25,12.25
21.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,13.25,13.25
22.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,14.25,14.25
23.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,12.2,12.2
24.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0
25.0,2.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,0.5,0.5,5.8,5.8
26.0,2.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,1.5,1.5,4.0,4.0
27.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.6666666666666667,1.6666666666666667,2.25,2.25
28.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0
29.0,5.0,5.0,4.0,4.0,0.0,0.0,1.0,1.0,2.4,2.4,1.75,1.75
30.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,3.4,3.4,2.0,2.0
31.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,4.4,4.4,2.5,2.5
32.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,5.4,5.4,3.0,3.0
33.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,5.333333333333333,5.333333333333333,0.0,0.0
34.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,5.6,5.6,1.0,1.0
35.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,5.75,5.75,2.0,2.0
36.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,3.0,3.0
37.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,4.0,4.0
38.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0
39.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
40.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0
41.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0
42.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.5,4.5
43.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665
44.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.666666666666667,4.666666666666667
45.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.666666666666667,5.666666666666667
46.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667
47.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.666666666666667,7.666666666666667
