timestep,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,light_state_north,light_state_south,light_state_east,light_state_west,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
11.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5
12.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5,2.5
13.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5
14.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.5,4.5
15.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.5,5.5
16.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.5,6.5
17.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0
18.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0
19.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0
20.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0
21.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0
22.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0
23.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.25,8.25
24.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,9.25,9.25
25.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,10.25,10.25
26.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,11.25,11.25
27.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,12.25,12.25
28.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,10.6,10.6
29.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,11.6,11.6
30.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,12.6,12.6
31.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,11.25,11.25
32.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0
33.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,5.333333333333333,5.333333333333333
34.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0
35.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0
36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0
37.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0
38.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0
39.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,3.5,0.0,0.0
40.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0
41.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0
42.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0
43.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0
44.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0
45.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0
46.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,6.75,6.75,0.0,0.0
47.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,7.75,7.75,0.0,0.0
48.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,8.75,8.75,0.0,0.0
