total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,north_current_wait_time,south_queue_size,south_current_wait_time,east_queue_size,east_current_wait_time,west_queue_size,west_current_wait_time
1,1,1,0,0,0,0.0,1,0.0,0,0.0,0,0.0
2,1,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0
3,1,1,0,0,1,0.0,1,1.0,0,0.0,0,0.0
4,1,1,0,0,1,1.0,0,1.0,0,0.0,0,0.0
5,1,1,0,0,1,1.0,0,0.0,0,0.0,0,0.0
6,1,1,0,0,1,1.0,1,0.0,0,0.0,0,0.0
7,1,1,0,0,0,1.0,1,1.0,0,0.0,0,0.0
8,1,1,0,0,0,0.0,1,1.0,0,0.0,0,0.0
9,1,1,0,0,0,0.0,0,1.0,0,0.0,0,0.0
10,1,1,0,0,0,0.0,1,0.0,0,0.0,1,0.0
11,1,1,0,0,0,0.0,1,1.0,0,0.0,2,1.0
12,1,1,0,0,0,0.0,0,1.0,1,0.0,3,1.5
13,1,1,0,0,1,0.0,0,0.0,1,1.0,3,2.0
14,1,1,0,0,0,1.0,1,0.0,2,2.0,3,3.0
15,1,1,0,0,1,0.0,1,1.0,2,2.0,3,4.0
16,1,1,0,0,1,1.0,0,1.0,2,3.0,3,5.0
17,1,1,0,0,0,1.0,1,0.0,2,4.0,3,6.0
18,1,1,0,0,1,0.0,1,1.0,2,5.0,3,7.0
19,1,1,0,0,1,1.0,1,1.0,2,6.0,4,8.0
20,1,1,0,0,0,1.0,0,1.0,2,7.0,4,7.0
21,1,1,0,0,0,0.0,0,0.0,2,8.0,4,8.0
22,1,1,0,0,1,0.0,1,0.0,3,9.0,4,9.0
23,1,1,0,0,0,1.0,0,1.0,3,7.0,4,10.0
24,1,1,0,0,1,0.0,1,0.0,3,8.0,4,11.0
25,1,1,0,0,0,1.0,1,1.0,3,9.0,4,12.0
26,1,1,0,0,1,0.0,1,1.0,3,10.0,4,13.0
27,1,1,0,0,1,1.0,1,1.0,3,11.0,4,14.0
28,1,1,0,0,0,1.0,1,1.0,3,12.0,4,15.0
29,1,1,0,0,1,0.0,0,1.0,3,13.0,4,16.0
30,1,1,0,0,0,1.0,0,0.0,3,14.0,5,17.0
31,1,1,0,0,0,0.0,0,0.0,3,15.0,5,14.6
32,1,1,0,0,0,0.0,0,0.0,3,16.0,6,15.6
33,1,1,0,0,0,0.0,1,0.0,3,17.0,7,14.0
34,1,1,0,0,1,0.0,1,1.0,3,18.0,7,13.0
35,1,1,0,0,0,1.0,1,1.0,3,19.0,8,14.0
36,0,0,1,1,0,0.0,0,1.0,3,20.0,8,13.25
37,0,0,1,1,1,0.0,1,0.0,2,21.0,8,14.25
38,0,0,1,1,1,1.0,1,1.0,1,20.0,8,11.875
39,0,0,1,1,2,2.0,1,2.0,0,17.0,7,9.5
40,0,0,1,1,3,2.0,2,3.0,0,0.0,6,8.0
41,0,0,1,1,4,2.3333333333333335,2,2.5,0,0.0,5,6.833333333333333
42,0,0,1,1,4,2.75,2,3.5,1,0.0,4,7.0
43,0,0,1,1,5,3.75,3,4.5,0,1.0,3,7.25
44,0,0,1,1,5,4.0,4,4.0,0,0.0,3,7.333333333333333
45,0,0,1,1,6,5.0,5,4.0,1,0.0,2,5.333333333333333
46,1,1,0,0,7,5.166666666666667,6,4.2,0,1.0,1,5.0
47,1,1,0,0,7,5.428571428571429,6,4.5,0,0.0,1,3.0
48,1,1,0,0,7,5.0,6,3.8333333333333335,0,0.0,2,4.0
49,1,1,0,0,6,4.714285714285714,6,3.5,0,0.0,2,3.0
50,1,1,0,0,5,5.0,6,3.5,0,0.0,2,4.0
51,1,1,0,0,5,5.2,5,3.5,0,0.0,2,5.0
52,1,1,0,0,5,4.6,4,4.0,0,0.0,3,6.0
53,1,1,0,0,5,4.2,3,4.5,0,0.0,3,5.0
54,1,1,0,0,4,3.8,3,5.0,0,0.0,3,6.0
55,1,1,0,0,4,4.0,3,4.0,0,0.0,3,7.0
